店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
銀座さかなさま,050-5486-2061,,東京都,中央区,銀座1-5-10,銀座ファーストファイブビル5F,,
ビヤレストラン ライオン 銀座七丁目店,050-5485-8914,,東京都,中央区,銀座7-9-20,,,
わらやき屋銀座,050-5484-4720,,東京都,中央区,銀座6-5-15,銀座能楽堂ビル6F,,
MAIMON GINZA,050-5484-9360,,東京都,中央区,銀座8-3,西土橋ビル1～2F,,
CharcoalGrill＆GlobalBeerAsahi The Grill,050-5493-0654,,東京都,中央区,銀座8-2-1,ニッタビル3F,,
大衆酒場 銀座 ツルカメ,03-6264-6356,,東京都,中央区,銀座6-2,山下ビル1～2F,,
九州うまいもんと焼酎 芋蔵銀座 店,050-5485-9368,,東京都,中央区,銀座8-3先,東京高速道路西土橋ビル2F（銀座コリドー街）,,
銀座 比内地鶏専門店 美郷錦,050-5486-8027,,東京都,中央区,銀座6-2-1,Daiwa銀座ビルB2,,
WINEHALL GLAMOUR 銀座,050-5484-7578,,東京都,中央区,銀座8-2-1,ニッタビルB1,,
個室・炉端料理 かこいや銀座七丁目店（銀座ライオンビル店）,050-5484-6202,,東京都,中央区,銀座7-9-20,銀座ライオンビル3F,,
鳥番屋 銀座本店,03-5524-7677,,東京都,中央区,銀座1-5-10,GINZA1st．5ビルB1,,
吉祥 CHINESE DINING銀座インズ,050-5486-3744,,東京都,中央区,銀座西3-1,銀座インズ1 2F,,
銀座 うわの空旬の和食と日本酒,050-5486-9294,,東京都,中央区,銀座6-3-12,数寄屋ビル3F,,
土風炉 銀座一丁目店,050-5484-8091,,東京都,中央区,銀座1-10-6,銀座ファーストビルB2,,
個室和食 銀波（ぎんぱ）銀座店,050-5494-5092,,東京都,中央区,銀座5-6-2,銀座七宝ビルB1,,
北海しゃぶしゃぶ銀座店,050-5488-1908,,東京都,中央区,銀座8-8-5,太陽ビル3F,,
銀座伴助銀座本店,050-5487-1886,,東京都,中央区,銀座5-14-8,ワカホビル1F,,
銀座羅豚 はなれ,03-6808-1555,,東京都,中央区,銀座8-10-8,銀座8丁目10番ビル1F,,
銀座 ごだいご,050-5484-7806,,東京都,中央区,銀座7-108-103,コリドー街1F,,
銀座 夜景の見えるバルGINZA ROKUMEIKAN,050-5492-6304,,東京都,中央区,銀座7-8-8,isgBUILDING9F,,
SUSHI ＆ SAKEいぶき 銀座店,050-5494-5094,,東京都,中央区,銀座3-4-1,大倉別館B1,,
銀座さかなさま,050-5486-2061,,東京都,中央区,銀座1-5-10,銀座ファーストファイブビル5F,,
銀座ぼくじん炭火和食と日本酒,050-5484-5139,,東京都,中央区,銀座3-3-9,松岡銀座ビル5F,,
米沢牛黄木 銀座店,050-5487-9567,,東京都,中央区,銀座5-7-6,i liv 12F,,
パーティプラネット 「銀座ＰＰサロン」 貸切ダイニング,03-3571-3298,,東京都,中央区,銀座5-9-13,菊正ビル9F,,
個室和食居酒屋 淡路島と喰らえ銀座コリドー店,050-5486-2435,,東京都,中央区,銀座8-2-1,ニッタビル2-1,,
ライオン 銀座五丁目店ビアホール,050-5486-6716,,東京都,中央区,銀座5-8-1,GINZA PLACE B2,,
Restaurant＆Bar 銀座SAKURA,050-5488-6852,,東京都,中央区,銀座7-6-11,ミクニ銀座7ビル2F,,
土風炉 銀座コリドー街店,050-5484-3590,,東京都,中央区,銀座8-2,コリドー街1～2F,,
銀座土佐料理 祢保希（ねぼけ）,050-5484-7931,,東京都,中央区,銀座7-6-8,西五番街通り,,
寿司居酒屋 番屋銀座店,050-5486-3527,,東京都,中央区,銀座7-3-13,ニューギンザビルB1,,
個室会席 北大路銀座本店,050-5484-5058,,東京都,中央区,銀座8-5-12,第二ウルワシビル1階～地下2階,,
炉端・海鮮しゃぶしゃぶ 能登輪島,050-5485-1032,,東京都,中央区,銀座7-2-8,東建ビル3F,,
Citrus 銀座,050-5488-3902,,東京都,中央区,銀座8-5-24,ラペ3ビル3F,,
はかた地どり 福栄組合銀座,050-5485-9259,,東京都,中央区,銀座8-2,山下ビルB1,,
みやざき黒木屋銀座一丁目店,050-5485-0605,,東京都,中央区,銀座1-8-8,三神株式会社・ALビル1F,,
亀八,050-5485-6676,,東京都,中央区,銀座7-5-4,ラヴィアーレ6F,,
酒菜庵 ちゃぼうず,050-5484-1985,,東京都,中央区,銀座1-4-6,ナスダビル2F,,
完全個室 牛の達人 GINZA,050-5486-4613,,東京都,中央区,銀座2-5-19,PUZZLE銀座8F,,
銀座 扇や,050-5486-9556,,東京都,中央区,銀座8-3-1,GINZATOKIDEN 3F,,
麹蔵銀座店,050-5484-7119,,東京都,中央区,銀座3-4-6,正隆銀座ビルB1,,
ビヤレストラン ライオン 銀座七丁目店,050-5485-8914,,東京都,中央区,銀座7-9-20,,,
BAGUS QUALIA―バグースクオリア― 銀座,050-5484-1952,,東京都,中央区,銀座6-5-15,ギンザ能楽堂ビル7F,,
銀座方舟 大吟醸いろり店,050-5485-9392,,東京都,中央区,銀座8-8-8,GINZA888ビル7F,,
松永牧場銀座本店,050-5486-4601,,東京都,中央区,銀座2-4-18,アルボーレ銀座8F,,
個室 × 韓国料理 銀座MUN,050-5485-2327,,東京都,中央区,銀座6-2,山下ビル2F,,
過門香銀座本店,050-5485-0477,,東京都,中央区,銀座1-10-6,銀座ファーストビルB1,,
銀座すし 松村,050-5485-8639,,東京都,中央区,銀座8-5-21,かわばたビル新館6F,,
Tapas＆Wine 銀座ZION,050-5484-5848,,東京都,中央区,銀座5-9-1,KOTYビルB1,,
